DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
19.04.2018 16:53:29;7;41;0;0;214311;32063;20657;5435;30655;8332;398212;
19.04.2018 16:53:29;14;41;0;0;16928;4829;2021;1236;1529;1394;123689;
19.04.2018 16:53:29;34;35;0;0;10702;6176;5497;12797;8340;4593;401046;
19.04.2018 16:53:30;51;69;0;0;55956;61126;15561;22745;11504;14681;211075;
19.04.2018 16:53:31;27;96;0;0;11333;19032;2886;4659;2918;2165;60261;
19.04.2018 16:53:32;27;100;0;0;39834;82049;15272;10944;12538;9375;170901;
19.04.2018 16:53:33;38;100;0;0;5084;3860;5756;4764;4582;1207;52741;
19.04.2018 16:53:34;38;96;0;0;55022;28093;5969;7902;6211;3592;179025;
19.04.2018 16:53:35;40;96;0;0;23144;52435;75994;22454;15330;9839;128451;
19.04.2018 16:53:36;40;54;0;0;51121;7146;5748;4594;6005;3896;13896;
19.04.2018 16:53:37;23;27;0;0;260409;3550;36158;8308;27734;4832;128626;
19.04.2018 16:53:38;40;26;0;0;55660;25415;12478;9567;23445;3014;84390;
19.04.2018 16:53:39;38;1;0;0;10215;942;240;1424;1005;480;3096;
19.04.2018 16:53:40;37;10;0;0;75030;28222;20951;1253;9461;27966;20477;
19.04.2018 16:53:41;35;35;0;0;22904;12417;6764;1325;3501;2604;1811;
19.04.2018 16:53:42;26;47;0;0;41938;43504;52452;38908;18512;8422;53834;
19.04.2018 16:53:43;29;70;0;0;50746;27559;17948;7620;10546;7093;45559;
19.04.2018 16:53:44;40;69;0;0;30034;15324;10592;8677;7591;4444;22294;
19.04.2018 16:53:45;38;74;0;0;27473;12176;23131;9519;4826;8677;29337;
19.04.2018 16:53:46;43;57;0;0;8009;1920;1598;1597;2182;1441;7111;
19.04.2018 16:53:47;61;50;0;0;21389;6515;9311;11199;16121;5495;43575;
