DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 18:37:40;0;0;0;0;13000;10185;14877;8894;14262;13015;2827;
27.04.2018 18:37:41;0;0;0;0;79542;5029;6606;23068;32719;20960;8027;
27.04.2018 18:37:42;0;0;0;0;18424;5070;11038;8600;11338;9537;3954;
27.04.2018 18:37:43;30;43;0;0;68854;19198;11034;20023;25141;11820;5964;
27.04.2018 18:37:44;54;43;0;0;14456;10143;2652;20438;36869;12060;15435;
27.04.2018 18:37:45;37;43;0;0;58465;11072;8811;32639;15466;29902;10214;
27.04.2018 18:37:47;17;56;0;0;48890;59150;7299;31084;23148;8429;14347;
27.04.2018 18:37:48;43;51;0;0;18659;3678;9126;19335;32425;20102;4344;
27.04.2018 18:37:49;1;57;0;0;24808;10437;4344;17084;4069;5271;1859;
27.04.2018 18:37:50;1;67;0;0;92900;22743;31778;14311;14051;27019;8526;
27.04.2018 18:37:51;41;54;0;0;6773;3562;6079;17441;22090;5935;4318;
27.04.2018 18:37:52;14;67;0;0;8008;5848;3712;3327;3205;2307;828;
27.04.2018 18:37:53;21;67;0;0;38503;10559;3259;2525;6976;5521;2656;
27.04.2018 18:37:54;21;69;0;0;9229;4208;4921;4020;1890;901;209;
27.04.2018 18:37:55;1;78;0;0;34049;21659;12085;22769;23221;6928;2544;
27.04.2018 18:37:56;1;69;0;0;401814;52655;81269;25037;41810;21581;2208;
27.04.2018 18:37:57;1;61;0;0;113372;10432;9698;21365;21344;20067;3960;
27.04.2018 18:37:58;4;67;0;0;212643;199569;205825;51815;179285;16655;15783;
27.04.2018 18:38:00;4;70;0;0;216738;43450;63731;9981;20425;16409;4438;
27.04.2018 18:38:01;4;70;0;0;330145;30412;22069;10830;48378;10788;4519;
27.04.2018 18:38:02;1;56;0;0;93812;9061;3843;3598;6110;1948;1527;
27.04.2018 18:38:03;1;41;0;0;384997;24834;62429;28295;18515;18959;5914;
27.04.2018 18:38:04;1;30;0;0;1404723;102342;116668;48288;38916;27296;8405;
27.04.2018 18:38:05;1;41;0;0;73915;23734;10404;9075;11316;4548;3671;
27.04.2018 18:38:07;1;56;0;0;112288;53644;32412;15155;15762;5478;2518;
27.04.2018 18:38:08;1;70;0;0;319625;133125;153316;16617;36233;17340;4328;
27.04.2018 18:38:09;34;77;0;0;23945;7065;5925;9703;19190;15094;8103;
27.04.2018 18:38:10;47;77;0;0;47475;11959;22308;15611;28577;10783;4669;
27.04.2018 18:38:11;53;69;0;0;79373;14642;14327;9796;16737;9504;6457;
27.04.2018 18:38:12;69;53;0;0;165236;24322;13114;23277;56670;10133;4015;
27.04.2018 18:38:13;48;61;0;0;316827;169309;42236;39663;35787;28595;6598;
27.04.2018 18:38:14;38;57;0;0;394534;44611;114090;80037;75087;28111;17477;
27.04.2018 18:38:15;34;60;0;0;85150;25703;14123;11082;13570;3067;1675;
27.04.2018 18:38:16;30;70;0;0;12948;5114;5381;4354;4810;1247;431;
27.04.2018 18:38:34;0;0;0;0;69011;30704;23794;7476;11430;1588;1404;
27.04.2018 18:38:35;0;0;0;0;47957;11595;5246;7298;4223;1418;983;
27.04.2018 18:38:37;0;0;0;0;37597;4387;5375;5948;5923;4929;2998;
27.04.2018 18:38:38;56;69;0;0;9215;4391;2890;2516;2244;995;347;
27.04.2018 18:38:39;61;60;0;0;167488;35920;10193;16879;21536;22709;14534;
27.04.2018 18:38:43;64;67;0;0;43514;22611;11367;2976;6471;3061;1888;
27.04.2018 18:38:44;83;70;0;0;69780;91230;15598;68149;27243;8025;6994;
