DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
13.04.2018 19:36;54;83;0;0;14195;9792;4007;8632;9357;4378;193111
13.04.2018 19:36;38;69;0;0;122028;3262;27734;11272;8952;4764;127729
13.04.2018 19:36;53;44;0;0;30553;3152;3872;2159;9025;4897;109410
13.04.2018 19:36;44;66;0;0;1531;15674;2502;7031;5092;2628;105114
13.04.2018 19:36;40;41;0;0;47591;590;1401;1117;1737;1223;29505
13.04.2018 19:36;40;41;0;0;47591;590;1401;1117;1737;1223;29505
13.04.2018 19:36;40;41;0;0;47591;590;1401;1117;1737;1223;29505
13.04.2018 19:36;40;41;0;0;47591;590;1401;1117;1737;1223;29505
13.04.2018 19:36;23;38;0;0;137308;14016;30428;25922;9031;3232;73144
13.04.2018 19:36;24;44;0;0;21307;4165;1988;6951;7000;5074;64602
13.04.2018 19:36;23;26;0;0;13638;1722;4563;9774;3931;4111;91284
13.04.2018 19:36;37;48;0;0;36718;6250;7284;6667;7623;6436;72273
13.04.2018 19:36;47;60;0;0;14369;10819;10484;12395;5258;4656;74568
13.04.2018 19:36;50;66;0;0;9944;1158;6379;9643;6385;6819;68338
13.04.2018 19:36;47;84;0;0;18991;31912;6958;6167;8072;5637;78903
13.04.2018 19:36;40;97;0;0;33429;18654;14736;6983;5452;6459;42647
13.04.2018 19:36;41;97;0;0;5765;5357;512;1450;1950;1472;15053
13.04.2018 19:36;27;100;0;0;47809;10821;15290;10718;6793;3095;65422
13.04.2018 19:37;26;96;0;0;31049;24003;9087;12881;7644;5355;69731
13.04.2018 19:37;27;84;0;0;24760;1322;8530;3754;2863;5846;20335
13.04.2018 19:37;30;88;0;0;8242;5925;18348;7391;9851;10909;51623
13.04.2018 19:37;50;94;0;0;7578;5833;10803;6581;12608;8645;30490
13.04.2018 19:37;57;90;0;0;17736;9941;13384;17695;12726;15269;43612
13.04.2018 19:37;74;93;0;0;26585;13091;5294;5964;17140;11371;57156
13.04.2018 19:37;77;91;0;0;3719;11874;7655;10895;8778;12281;57418
13.04.2018 19:37;70;81;0;0;20314;8704;6471;22347;12176;12110;46545
13.04.2018 19:37;64;66;0;0;16688;1931;3008;12525;3143;1909;6796
13.04.2018 19:37;38;80;0;0;230856;150224;154680;37186;14145;25483;187674
13.04.2018 19:37;20;51;0;0;80614;2352;4453;5913;4783;2351;28791
13.04.2018 19:37;13;48;0;0;191489;6610;50495;25961;35143;42352;46808
13.04.2018 19:37;7;51;0;0;184284;23953;17907;15005;15957;7900;53244
13.04.2018 19:37;21;29;0;0;38317;2309;7733;5124;6626;1368;98057
13.04.2018 19:37;35;53;0;0;56667;25252;23562;14394;25073;7804;50380
13.04.2018 19:37;29;63;0;0;17240;1693;11254;4949;2548;2846;4240
13.04.2018 19:37;38;81;0;0;35268;49712;30833;27833;19433;40249;26846
13.04.2018 19:37;38;93;0;0;20988;14851;1301;5330;5741;6572;19040
13.04.2018 19:37;29;94;0;0;62836;11413;41067;14855;10243;10862;164343
13.04.2018 19:37;21;93;0;0;190146;69535;23028;22388;11155;8970;338601
13.04.2018 19:37;20;81;0;0;9317;2864;1511;1133;1855;1492;14185
13.04.2018 19:37;14;87;0;0;82782;52572;31320;9101;14716;19771;250629
13.04.2018 19:37;24;77;0;0;46167;8545;20408;62387;20275;9727;98500
13.04.2018 19:37;40;74;0;0;28152;10604;12854;32931;9489;17164;105104
13.04.2018 19:37;44;80;0;0;21346;19973;6949;15761;10279;20083;130710
13.04.2018 19:37;51;80;0;0;30528;13485;31861;14645;12801;19261;114029
13.04.2018 19:37;40;75;0;0;30736;3363;3102;4585;3225;3110;26369
13.04.2018 19:37;29;75;0;0;22668;4000;3980;1892;1763;3093;64053
13.04.2018 19:37;13;56;0;0;177483;19384;6462;16228;7535;17668;107045
13.04.2018 19:37;3;35;0;0;47347;4314;2762;1727;3534;3762;12106
13.04.2018 19:37;3;30;0;0;54484;390;7641;6941;5506;4630;16397
